Type,Condition_label,Condition_label_for_group_assignment,Intervening_noun_base_form,Intervening_noun_plural_form,Intervening_noun_count_form,Intervening_noun_used_form,Gender_of_intervening_noun,Number_of_intervening_noun_singular_or_plural,Number_of_intervening_noun_singular_plural_or_count,Gender_of_target_noun,Number_of_target_noun_singular_or_plural,Number_of_target_noun_singular_plural_or_count,Beginning,First_Numeral,Condition_adjective_base_form,Condition_adjective_stem_form,First_adjective_base_form,First_adjective_stem_form,First_position_yat_alternation,Condition_adjective_yat_alternation,Second_position_yat_alternation,Third_position_yat_alternation,First_position,Condition_beginning,Condition_continuation_with_underlying_preposition,Modified_preposition,Adjective_marker_if_not_present,Adjective_if_used,Second_numeral,Second_numeral_if_present,Marker_for_indefinite_form_usage_of_intervening_noun,Second_position,Condition_end,Third_position,Target_noun_base_form,Target_noun_plural_form,Target_noun_count_form,Target_noun_other_plural_forms,Group,Numeral_Type,Final_sentence,Target_noun_after_final_sentence,Correct_response_as_integer,Number_of_words_in_condition,All_colums_with_count_forms_with_the_wrong_ending,All_colums_with_plural_forms_with_the_wrong_ending,All_columns_with_identical_singular_form_to_plural_or_count_form_for_intervening_noun,All_columns_with_identical_singular_form_to_plural_or_count_form_for_target_noun,All_columns_with_identical_plural_and_count_forms,All_columns_with_multiple_spaces,All_columns_with_a_final_space
train,,,,,,,,,,,,,,няколко,,,,,,,,,,,,,,,,,,,,,кон,коне,коня,,,,Вчера стопанинът обязди няколко млади черни,кон,2,,,,,,,,
train,,,,,,,,,,,,,,няколко,,,,,,,,,,,,,,,,,,,,,крава,крави,крави,,,,Вчера стопанката нахрани няколко стари бели,крава,1,,,,,,,,
