Type,Condition_label,Condition_label_for_group_assignment,Intervening_noun_base_form,Intervening_noun_plural_form,Intervening_noun_count_form,Intervening_noun_used_form,Gender_of_intervening_noun,Number_of_intervening_noun_singular_or_plural,Number_of_intervening_noun_singular_plural_or_count,Gender_of_target_noun,Number_of_target_noun_singular_or_plural,Number_of_target_noun_singular_plural_or_count,Beginning,First_Numeral,Condition_adjective_base_form,Condition_adjective_stem_form,First_adjective_base_form,First_adjective_stem_form,First_position_yat_alternation,Condition_adjective_yat_alternation,Second_position_yat_alternation,Third_position_yat_alternation,First_position,Condition_beginning,Condition_continuation_with_underlying_preposition,Modified_preposition,Adjective_marker_if_not_present,Adjective_if_used,Second_numeral,Second_numeral_if_present,Marker_for_indefinite_form_usage_of_intervening_noun,Second_position,Condition_end,Third_position,Target_noun_base_form,Target_noun_plural_form,Target_noun_count_form,Target_noun_other_plural_forms,Group,Numeral_Type,Final_sentence,Target_noun_after_final_sentence,Correct_response_as_integer,Number_of_words_in_condition,All_colums_with_count_forms_with_the_wrong_ending,All_colums_with_plural_forms_with_the_wrong_ending,All_columns_with_identical_singular_form_to_plural_or_count_form_for_intervening_noun,All_columns_with_identical_singular_form_to_plural_or_count_form_for_target_noun,All_columns_with_identical_plural_and_count_forms,All_columns_with_multiple_spaces,All_columns_with_a_final_space
target1,P1,P1,явор,явори,явора,явори,m,pl,pl,m,pl,count,Стопаните наториха,два,посаден,посаден,нисък,ниск,ниски,посадени,,,ниски,посадени,между,между,,нисък,няколко,,,,яворите,,кестен,кестени,кестена,,A,low,Стопаните наториха два ниски посадени между яворите,кестен,1,5,,,,,,,
target1,P2,P2,явор,явори,явора,явори,m,pl,pl,m,pl,count,Стопаните наториха,два,посаден,посаден,нисък,ниск,,посадени,ниските,,,посадени,между,между,,нисък,няколко,,,ниските,явори,,кестен,кестени,кестена,,B,low,Стопаните наториха два посадени между ниските явори,кестен,1,5,,,,,,,
target1,P3,P3,явор,явори,явора,явори,m,pl,pl,m,pl,count,Стопаните наториха,два,посаден,посаден,нисък,ниск,,посадени,,ниски,,посадени,между,между,,нисък,няколко,,,,яворите,ниски,кестен,кестени,кестена,,C,low,Стопаните наториха два посадени между яворите ниски,кестен,1,5,,,,,,,
target1,P1+Num,P1+Num,явор,явори,явора,явора,m,pl,count,m,pl,count,Стопаните наториха,два,посаден,посаден,нисък,ниск,ниски,посадени,,,ниски,посадени,между,между,,нисък,няколко,няколко,,,явора,,кестен,кестени,кестена,,D,low,Стопаните наториха два ниски посадени между няколко явора,кестен,1,5,,,,,,,
target1,P2+Num,P2+Num,явор,явори,явора,явора,m,pl,count,m,pl,count,Стопаните наториха,два,посаден,посаден,нисък,ниск,,посадени,ниски,,,посадени,между,между,,нисък,няколко,няколко,,ниски,явора,,кестен,кестени,кестена,,E,low,Стопаните наториха два посадени между няколко ниски явора,кестен,1,5,,,,,,,
target1,P3+Num,P3+Num,явор,явори,явора,явора,m,pl,count,m,pl,count,Стопаните наториха,два,посаден,посаден,нисък,ниск,,посадени,,ниски,,посадени,между,между,,нисък,няколко,няколко,,,явора,ниски,кестен,кестени,кестена,,F,low,Стопаните наториха два посадени между няколко явора ниски,кестен,1,5,,,,,,,
target1,P1,P1,робот,роботи,робота,роботи,m,pl,pl,m,pl,count,Крадците откраднаха,три,пазен,пазен,подвижен,подвижн,подвижни,пазени,,,подвижни,пазени,от,от,,подвижен,няколко,,,,роботите,,експонат,експонати,експоната,,F,low,Крадците откраднаха три подвижни пазени от роботите,експонат,1,5,,,,,,,
target1,P2,P2,робот,роботи,робота,роботи,m,pl,pl,m,pl,count,Крадците откраднаха,три,пазен,пазен,подвижен,подвижн,,пазени,подвижните,,,пазени,от,от,,подвижен,няколко,,,подвижните,роботи,,експонат,експонати,експоната,,A,low,Крадците откраднаха три пазени от подвижните роботи,експонат,1,5,,,,,,,
target1,P3,P3,робот,роботи,робота,роботи,m,pl,pl,m,pl,count,Крадците откраднаха,три,пазен,пазен,подвижен,подвижн,,пазени,,подвижни,,пазени,от,от,,подвижен,няколко,,,,роботите,подвижни,експонат,експонати,експоната,,B,low,Крадците откраднаха три пазени от роботите подвижни,експонат,1,5,,,,,,,
target1,P1+Num,P1+Num,робот,роботи,робота,робота,m,pl,count,m,pl,count,Крадците откраднаха,три,пазен,пазен,подвижен,подвижн,подвижни,пазени,,,подвижни,пазени,от,от,,подвижен,няколко,няколко,,,робота,,експонат,експонати,експоната,,C,low,Крадците откраднаха три подвижни пазени от няколко робота,експонат,1,5,,,,,,,
target1,P2+Num,P2+Num,робот,роботи,робота,робота,m,pl,count,m,pl,count,Крадците откраднаха,три,пазен,пазен,подвижен,подвижн,,пазени,подвижни,,,пазени,от,от,,подвижен,няколко,няколко,,подвижни,робота,,експонат,експонати,експоната,,D,low,Крадците откраднаха три пазени от няколко подвижни робота,експонат,1,5,,,,,,,
target1,P3+Num,P3+Num,робот,роботи,робота,робота,m,pl,count,m,pl,count,Крадците откраднаха,три,пазен,пазен,подвижен,подвижн,,пазени,,подвижни,,пазени,от,от,,подвижен,няколко,няколко,,,робота,подвижни,експонат,експонати,експоната,,E,low,Крадците откраднаха три пазени от няколко робота подвижни,експонат,1,5,,,,,,,
target1,P1,P1,самолет,самолети,самолета,самолети,m,pl,pl,m,pl,count,Щабът наблюдаваше,четири,защитаван,защитаван,украински,украинск,украински,защитавани,,,украински,защитавани,от,от,,украински,няколко,,,,самолетите,,регион,региони,региона,,E,low,Щабът наблюдаваше четири украински защитавани от самолетите,регион,1,5,,,,,,,
target1,P2,P2,самолет,самолети,самолета,самолети,m,pl,pl,m,pl,count,Щабът наблюдаваше,четири,защитаван,защитаван,украински,украинск,,защитавани,украинските,,,защитавани,от,от,,украински,няколко,,,украинските,самолети,,регион,региони,региона,,F,low,Щабът наблюдаваше четири защитавани от украинските самолети,регион,1,5,,,,,,,
target1,P3,P3,самолет,самолети,самолета,самолети,m,pl,pl,m,pl,count,Щабът наблюдаваше,четири,защитаван,защитаван,украински,украинск,,защитавани,,украински,,защитавани,от,от,,украински,няколко,,,,самолетите,украински,регион,региони,региона,,A,low,Щабът наблюдаваше четири защитавани от самолетите украински,регион,1,5,,,,,,,
target1,P1+Num,P1+Num,самолет,самолети,самолета,самолета,m,pl,count,m,pl,count,Щабът наблюдаваше,четири,защитаван,защитаван,украински,украинск,украински,защитавани,,,украински,защитавани,от,от,,украински,няколко,няколко,,,самолета,,регион,региони,региона,,B,low,Щабът наблюдаваше четири украински защитавани от няколко самолета,регион,1,5,,,,,,,
target1,P2+Num,P2+Num,самолет,самолети,самолета,самолета,m,pl,count,m,pl,count,Щабът наблюдаваше,четири,защитаван,защитаван,украински,украинск,,защитавани,украински,,,защитавани,от,от,,украински,няколко,няколко,,украински,самолета,,регион,региони,региона,,C,low,Щабът наблюдаваше четири защитавани от няколко украински самолета,регион,1,5,,,,,,,
target1,P3+Num,P3+Num,самолет,самолети,самолета,самолета,m,pl,count,m,pl,count,Щабът наблюдаваше,четири,защитаван,защитаван,украински,украинск,,защитавани,,украински,,защитавани,от,от,,украински,няколко,няколко,,,самолета,украински,регион,региони,региона,,D,low,Щабът наблюдаваше четири защитавани от няколко самолета украински,регион,1,5,,,,,,,
target1,P1,P1,тигър,тигри,тигъра,тигри,m,pl,pl,m,pl,count,Ловците заловиха,пет,подгонен,подгонен,див,див,диви,подгонени,,,диви,подгонени,от,от,,див,няколко,,,,тигрите,,елен,елени,елена,,D,high,Ловците заловиха пет диви подгонени от тигрите,елен,1,5,,,,,,,
target1,P2,P2,тигър,тигри,тигъра,тигри,m,pl,pl,m,pl,count,Ловците заловиха,пет,подгонен,подгонен,див,див,,подгонени,дивите,,,подгонени,от,от,,див,няколко,,,дивите,тигри,,елен,елени,елена,,E,high,Ловците заловиха пет подгонени от дивите тигри,елен,1,5,,,,,,,
target1,P3,P3,тигър,тигри,тигъра,тигри,m,pl,pl,m,pl,count,Ловците заловиха,пет,подгонен,подгонен,див,див,,подгонени,,диви,,подгонени,от,от,,див,няколко,,,,тигрите,диви,елен,елени,елена,,F,high,Ловците заловиха пет подгонени от тигрите диви,елен,1,5,,,,,,,
target1,P1+Num,P1+Num,тигър,тигри,тигъра,тигъра,m,pl,count,m,pl,count,Ловците заловиха,пет,подгонен,подгонен,див,див,диви,подгонени,,,диви,подгонени,от,от,,див,няколко,няколко,,,тигъра,,елен,елени,елена,,A,high,Ловците заловиха пет диви подгонени от няколко тигъра,елен,1,5,,,,,,,
target1,P2+Num,P2+Num,тигър,тигри,тигъра,тигъра,m,pl,count,m,pl,count,Ловците заловиха,пет,подгонен,подгонен,див,див,,подгонени,диви,,,подгонени,от,от,,див,няколко,няколко,,диви,тигъра,,елен,елени,елена,,B,high,Ловците заловиха пет подгонени от няколко диви тигъра,елен,1,5,,,,,,,
target1,P3+Num,P3+Num,тигър,тигри,тигъра,тигъра,m,pl,count,m,pl,count,Ловците заловиха,пет,подгонен,подгонен,див,див,,подгонени,,диви,,подгонени,от,от,,див,няколко,няколко,,,тигъра,диви,елен,елени,елена,,C,high,Ловците заловиха пет подгонени от няколко тигъра диви,елен,1,5,,,,,,,
target1,P1,P1,компонент,компоненти,компонента,компоненти,m,pl,pl,m,pl,count,Шофьорите разтовариха,шест,превозващ,превозващ,артилерийски,артилерийск,артилерийски,превозващи,,,артилерийски,превозващи,,,,артилерийски,няколко,,,,компонентите,,камион,камиони,камиона,,C,high,Шофьорите разтовариха шест артилерийски превозващи компонентите,камион,1,4,,,,,,,
target1,P2,P2,компонент,компоненти,компонента,компоненти,m,pl,pl,m,pl,count,Шофьорите разтовариха,шест,превозващ,превозващ,артилерийски,артилерийск,,превозващи,артилерийските,,,превозващи,,,,артилерийски,няколко,,,артилерийските,компоненти,,камион,камиони,камиона,,D,high,Шофьорите разтовариха шест превозващи артилерийските компоненти,камион,1,4,,,,,,,
target1,P3,P3,компонент,компоненти,компонента,компоненти,m,pl,pl,m,pl,count,Шофьорите разтовариха,шест,превозващ,превозващ,артилерийски,артилерийск,,превозващи,,артилерийски,,превозващи,,,,артилерийски,няколко,,,,компонентите,артилерийски,камион,камиони,камиона,,E,high,Шофьорите разтовариха шест превозващи компонентите артилерийски,камион,1,4,,,,,,,
target1,P1+Num,P1+Num,компонент,компоненти,компонента,компонента,m,pl,count,m,pl,count,Шофьорите разтовариха,шест,превозващ,превозващ,артилерийски,артилерийск,артилерийски,превозващи,,,артилерийски,превозващи,,,,артилерийски,няколко,няколко,,,компонента,,камион,камиони,камиона,,F,high,Шофьорите разтовариха шест артилерийски превозващи няколко компонента,камион,1,4,,,,,,,
target1,P2+Num,P2+Num,компонент,компоненти,компонента,компонента,m,pl,count,m,pl,count,Шофьорите разтовариха,шест,превозващ,превозващ,артилерийски,артилерийск,,превозващи,артилерийски,,,превозващи,,,,артилерийски,няколко,няколко,,артилерийски,компонента,,камион,камиони,камиона,,A,high,Шофьорите разтовариха шест превозващи няколко артилерийски компонента,камион,1,4,,,,,,,
target1,P3+Num,P3+Num,компонент,компоненти,компонента,компонента,m,pl,count,m,pl,count,Шофьорите разтовариха,шест,превозващ,превозващ,артилерийски,артилерийск,,превозващи,,артилерийски,,превозващи,,,,артилерийски,няколко,няколко,,,компонента,артилерийски,камион,камиони,камиона,,B,high,Шофьорите разтовариха шест превозващи няколко компонента артилерийски,камион,1,4,,,,,,,
target1,P1,P1,патладжан,патладжани,патладжана,патладжани,m,pl,pl,m,pl,count,Децата откъснаха,седем,растящ,растящ,розов,розов,розови,растящи,,,розови,растящи,до,до,,розов,няколко,,,,патладжаните,,домат,домати,домата,,B,high,Децата откъснаха седем розови растящи до патладжаните,домат,1,5,,,,,,,
target1,P2,P2,патладжан,патладжани,патладжана,патладжани,m,pl,pl,m,pl,count,Децата откъснаха,седем,растящ,растящ,розов,розов,,растящи,розовите,,,растящи,до,до,,розов,няколко,,,розовите,патладжани,,домат,домати,домата,,C,high,Децата откъснаха седем растящи до розовите патладжани,домат,1,5,,,,,,,
target1,P3,P3,патладжан,патладжани,патладжана,патладжани,m,pl,pl,m,pl,count,Децата откъснаха,седем,растящ,растящ,розов,розов,,растящи,,розови,,растящи,до,до,,розов,няколко,,,,патладжаните,розови,домат,домати,домата,,D,high,Децата откъснаха седем растящи до патладжаните розови,домат,1,5,,,,,,,
target1,P1+Num,P1+Num,патладжан,патладжани,патладжана,патладжана,m,pl,count,m,pl,count,Децата откъснаха,седем,растящ,растящ,розов,розов,розови,растящи,,,розови,растящи,до,до,,розов,няколко,няколко,,,патладжана,,домат,домати,домата,,E,high,Децата откъснаха седем розови растящи до няколко патладжана,домат,1,5,,,,,,,
target1,P2+Num,P2+Num,патладжан,патладжани,патладжана,патладжана,m,pl,count,m,pl,count,Децата откъснаха,седем,растящ,растящ,розов,розов,,растящи,розови,,,растящи,до,до,,розов,няколко,няколко,,розови,патладжана,,домат,домати,домата,,F,high,Децата откъснаха седем растящи до няколко розови патладжана,домат,1,5,,,,,,,
target1,P3+Num,P3+Num,патладжан,патладжани,патладжана,патладжана,m,pl,count,m,pl,count,Децата откъснаха,седем,растящ,растящ,розов,розов,,растящи,,розови,,растящи,до,до,,розов,няколко,няколко,,,патладжана,розови,домат,домати,домата,,A,high,Децата откъснаха седем растящи до няколко патладжана розови,домат,1,5,,,,,,,
target1,P1,P1,медикамент,медикаменти,медикамента,медикаменти,m,pl,pl,m,pl,count,Ветеринарят прегледа,два,лекуван,лекуван,опасен,опасн,опасни,лекувани,,,опасни,лекувани,с,с,,опасен,няколко,,,,медикаментите,,котарак,котараци,котарака,,A,low,Ветеринарят прегледа два опасни лекувани с медикаментите,котарак,1,5,,,,,,,
target1,P2,P2,медикамент,медикаменти,медикамента,медикаменти,m,pl,pl,m,pl,count,Ветеринарят прегледа,два,лекуван,лекуван,опасен,опасн,,лекувани,опасните,,,лекувани,с,с,,опасен,няколко,,,опасните,медикаменти,,котарак,котараци,котарака,,B,low,Ветеринарят прегледа два лекувани с опасните медикаменти,котарак,1,5,,,,,,,
target1,P3,P3,медикамент,медикаменти,медикамента,медикаменти,m,pl,pl,m,pl,count,Ветеринарят прегледа,два,лекуван,лекуван,опасен,опасн,,лекувани,,опасни,,лекувани,с,с,,опасен,няколко,,,,медикаментите,опасни,котарак,котараци,котарака,,C,low,Ветеринарят прегледа два лекувани с медикаментите опасни,котарак,1,5,,,,,,,
target1,P1+Num,P1+Num,медикамент,медикаменти,медикамента,медикамента,m,pl,count,m,pl,count,Ветеринарят прегледа,два,лекуван,лекуван,опасен,опасн,опасни,лекувани,,,опасни,лекувани,с,с,,опасен,няколко,няколко,,,медикамента,,котарак,котараци,котарака,,D,low,Ветеринарят прегледа два опасни лекувани с няколко медикамента,котарак,1,5,,,,,,,
target1,P2+Num,P2+Num,медикамент,медикаменти,медикамента,медикамента,m,pl,count,m,pl,count,Ветеринарят прегледа,два,лекуван,лекуван,опасен,опасн,,лекувани,опасни,,,лекувани,с,с,,опасен,няколко,няколко,,опасни,медикамента,,котарак,котараци,котарака,,E,low,Ветеринарят прегледа два лекувани с няколко опасни медикамента,котарак,1,5,,,,,,,
target1,P3+Num,P3+Num,медикамент,медикаменти,медикамента,медикамента,m,pl,count,m,pl,count,Ветеринарят прегледа,два,лекуван,лекуван,опасен,опасн,,лекувани,,опасни,,лекувани,с,с,,опасен,няколко,няколко,,,медикамента,опасни,котарак,котараци,котарака,,F,low,Ветеринарят прегледа два лекувани с няколко медикамента опасни,котарак,1,5,,,,,,,
target1,P1,P1,буркан,буркани,буркана,буркани,m,pl,pl,m,pl,count,Бояджиите разбъркаха,три,налѣт,налѣт,жълт,жълт,жълти,налети,,,жълти,налѣти,в,в,,жълт,няколко,,,,бурканите,,разтвор,разтвори,разтвора,,F,low,Бояджиите разбъркаха три жълти налети в бурканите,разтвор,1,5,,,,,,,
target1,P2,P2,буркан,буркани,буркана,буркани,m,pl,pl,m,pl,count,Бояджиите разбъркаха,три,налѣт,налѣт,жълт,жълт,,налети,жълтите,,,налѣти,в,в,,жълт,няколко,,,жълтите,буркани,,разтвор,разтвори,разтвора,,A,low,Бояджиите разбъркаха три налети в жълтите буркани,разтвор,1,5,,,,,,,
target1,P3,P3,буркан,буркани,буркана,буркани,m,pl,pl,m,pl,count,Бояджиите разбъркаха,три,налѣт,налѣт,жълт,жълт,,налети,,жълти,,налѣти,в,в,,жълт,няколко,,,,бурканите,жълти,разтвор,разтвори,разтвора,,B,low,Бояджиите разбъркаха три налети в бурканите жълти,разтвор,1,5,,,,,,,
target1,P1+Num,P1+Num,буркан,буркани,буркана,буркана,m,pl,count,m,pl,count,Бояджиите разбъркаха,три,налѣт,налѣт,жълт,жълт,жълти,налети,,,жълти,налѣти,в,в,,жълт,няколко,няколко,,,буркана,,разтвор,разтвори,разтвора,,C,low,Бояджиите разбъркаха три жълти налети в няколко буркана,разтвор,1,5,,,,,,,
target1,P2+Num,P2+Num,буркан,буркани,буркана,буркана,m,pl,count,m,pl,count,Бояджиите разбъркаха,три,налѣт,налѣт,жълт,жълт,,налети,жълти,,,налѣти,в,в,,жълт,няколко,няколко,,жълти,буркана,,разтвор,разтвори,разтвора,,D,low,Бояджиите разбъркаха три налети в няколко жълти буркана,разтвор,1,5,,,,,,,
target1,P3+Num,P3+Num,буркан,буркани,буркана,буркана,m,pl,count,m,pl,count,Бояджиите разбъркаха,три,налѣт,налѣт,жълт,жълт,,налети,,жълти,,налѣти,в,в,,жълт,няколко,няколко,,,буркана,жълти,разтвор,разтвори,разтвора,,E,low,Бояджиите разбъркаха три налети в няколко буркана жълти,разтвор,1,5,,,,,,,
target1,P1,P1,трактор,трактори,трактора,трактори,m,pl,pl,m,pl,count,Селяните засаждаха,четири,изоран,изоран,кооперативен,кооперативн,кооперативни,изорани,,,кооперативни,изорани,от,от,,кооперативен,няколко,,,,тракторите,,терен,терени,терена,,E,low,Селяните засаждаха четири кооперативни изорани от тракторите,терен,1,5,,,,,,,
target1,P2,P2,трактор,трактори,трактора,трактори,m,pl,pl,m,pl,count,Селяните засаждаха,четири,изоран,изоран,кооперативен,кооперативн,,изорани,кооперативните,,,изорани,от,от,,кооперативен,няколко,,,кооперативните,трактори,,терен,терени,терена,,F,low,Селяните засаждаха четири изорани от кооперативните трактори,терен,1,5,,,,,,,
target1,P3,P3,трактор,трактори,трактора,трактори,m,pl,pl,m,pl,count,Селяните засаждаха,четири,изоран,изоран,кооперативен,кооперативн,,изорани,,кооперативни,,изорани,от,от,,кооперативен,няколко,,,,тракторите,кооперативни,терен,терени,терена,,A,low,Селяните засаждаха четири изорани от тракторите кооперативни,терен,1,5,,,,,,,
target1,P1+Num,P1+Num,трактор,трактори,трактора,трактора,m,pl,count,m,pl,count,Селяните засаждаха,четири,изоран,изоран,кооперативен,кооперативн,кооперативни,изорани,,,кооперативни,изорани,от,от,,кооперативен,няколко,няколко,,,трактора,,терен,терени,терена,,B,low,Селяните засаждаха четири кооперативни изорани от няколко трактора,терен,1,5,,,,,,,
target1,P2+Num,P2+Num,трактор,трактори,трактора,трактора,m,pl,count,m,pl,count,Селяните засаждаха,четири,изоран,изоран,кооперативен,кооперативн,,изорани,кооперативни,,,изорани,от,от,,кооперативен,няколко,няколко,,кооперативни,трактора,,терен,терени,терена,,C,low,Селяните засаждаха четири изорани от няколко кооперативни трактора,терен,1,5,,,,,,,
target1,P3+Num,P3+Num,трактор,трактори,трактора,трактора,m,pl,count,m,pl,count,Селяните засаждаха,четири,изоран,изоран,кооперативен,кооперативн,,изорани,,кооперативни,,изорани,от,от,,кооперативен,няколко,няколко,,,трактора,кооперативни,терен,терени,терена,,D,low,Селяните засаждаха четири изорани от няколко трактора кооперативни,терен,1,5,,,,,,,
target1,P1,P1,експеримент,експерименти,експеримента,експерименти,m,pl,pl,m,pl,count,Университетът одобри,пет,основан,основан,научен,научн,научни,основани,,,научни,основани,на,на,,научен,няколко,,,,експериментите,,проект,проекти,проекта,,D,high,Университетът одобри пет научни основани на експериментите,проект,1,5,,,,,,,
target1,P2,P2,експеримент,експерименти,експеримента,експерименти,m,pl,pl,m,pl,count,Университетът одобри,пет,основан,основан,научен,научн,,основани,научните,,,основани,на,на,,научен,няколко,,,научните,експерименти,,проект,проекти,проекта,,E,high,Университетът одобри пет основани на научните експерименти,проект,1,5,,,,,,,
target1,P3,P3,експеримент,експерименти,експеримента,експерименти,m,pl,pl,m,pl,count,Университетът одобри,пет,основан,основан,научен,научн,,основани,,научни,,основани,на,на,,научен,няколко,,,,експериментите,научни,проект,проекти,проекта,,F,high,Университетът одобри пет основани на експериментите научни,проект,1,5,,,,,,,
target1,P1+Num,P1+Num,експеримент,експерименти,експеримента,експеримента,m,pl,count,m,pl,count,Университетът одобри,пет,основан,основан,научен,научн,научни,основани,,,научни,основани,на,на,,научен,няколко,няколко,,,експеримента,,проект,проекти,проекта,,A,high,Университетът одобри пет научни основани на няколко експеримента,проект,1,5,,,,,,,
target1,P2+Num,P2+Num,експеримент,експерименти,експеримента,експеримента,m,pl,count,m,pl,count,Университетът одобри,пет,основан,основан,научен,научн,,основани,научни,,,основани,на,на,,научен,няколко,няколко,,научни,експеримента,,проект,проекти,проекта,,B,high,Университетът одобри пет основани на няколко научни експеримента,проект,1,5,,,,,,,
target1,P3+Num,P3+Num,експеримент,експерименти,експеримента,експеримента,m,pl,count,m,pl,count,Университетът одобри,пет,основан,основан,научен,научн,,основани,,научни,,основани,на,на,,научен,няколко,няколко,,,експеримента,научни,проект,проекти,проекта,,C,high,Университетът одобри пет основани на няколко експеримента научни,проект,1,5,,,,,,,
target1,P1,P1,резервоар,резервоари,резервоара,резервоари,m,pl,pl,m,pl,count,Моряците поправиха,шест,оборудван,оборудван,петролен,петролн,петролни,оборудвани,,,петролни,оборудвани,с,с,,петролен,няколко,,indef,,резервоари,,танкер,танкери,танкера,,C,high,Моряците поправиха шест петролни оборудвани с резервоари,танкер,1,5,,,,,,,
target1,P2,P2,резервоар,резервоари,резервоара,резервоари,m,pl,pl,m,pl,count,Моряците поправиха,шест,оборудван,оборудван,петролен,петролн,,оборудвани,петролни,,,оборудвани,с,с,,петролен,няколко,,indef,петролни,резервоари,,танкер,танкери,танкера,,D,high,Моряците поправиха шест оборудвани с петролни резервоари,танкер,1,5,,,,,,,
target1,P3,P3,резервоар,резервоари,резервоара,резервоари,m,pl,pl,m,pl,count,Моряците поправиха,шест,оборудван,оборудван,петролен,петролн,,оборудвани,,петролни,,оборудвани,с,с,,петролен,няколко,,indef,,резервоари,петролни,танкер,танкери,танкера,,E,high,Моряците поправиха шест оборудвани с резервоари петролни,танкер,1,5,,,,,,,
target1,P1+Num,P1+Num,резервоар,резервоари,резервоара,резервоара,m,pl,count,m,pl,count,Моряците поправиха,шест,оборудван,оборудван,петролен,петролн,петролни,оборудвани,,,петролни,оборудвани,с,с,,петролен,няколко,няколко,indef,,резервоара,,танкер,танкери,танкера,,F,high,Моряците поправиха шест петролни оборудвани с няколко резервоара,танкер,1,5,,,,,,,
target1,P2+Num,P2+Num,резервоар,резервоари,резервоара,резервоара,m,pl,count,m,pl,count,Моряците поправиха,шест,оборудван,оборудван,петролен,петролн,,оборудвани,петролни,,,оборудвани,с,с,,петролен,няколко,няколко,indef,петролни,резервоара,,танкер,танкери,танкера,,A,high,Моряците поправиха шест оборудвани с няколко петролни резервоара,танкер,1,5,,,,,,,
target1,P3+Num,P3+Num,резервоар,резервоари,резервоара,резервоара,m,pl,count,m,pl,count,Моряците поправиха,шест,оборудван,оборудван,петролен,петролн,,оборудвани,,петролни,,оборудвани,с,с,,петролен,няколко,няколко,indef,,резервоара,петролни,танкер,танкери,танкера,,B,high,Моряците поправиха шест оборудвани с няколко резервоара петролни,танкер,1,5,,,,,,,
target1,P1,P1,метал,метали,метала,метали,m,pl,pl,m,pl,count,Юбилярите получиха,седем,изработен,изработен,скъпоценен,скъпоценн,скъпоценни,изработени,,,скъпоценни,изработени,от,от,,скъпоценен,няколко,,indef,,метали,,орден,ордени,ордена,,B,high,Юбилярите получиха седем скъпоценни изработени от метали,орден,1,5,,,,,,,
target1,P2,P2,метал,метали,метала,метали,m,pl,pl,m,pl,count,Юбилярите получиха,седем,изработен,изработен,скъпоценен,скъпоценн,,изработени,скъпоценни,,,изработени,от,от,,скъпоценен,няколко,,indef,скъпоценни,метали,,орден,ордени,ордена,,C,high,Юбилярите получиха седем изработени от скъпоценни метали,орден,1,5,,,,,,,
target1,P3,P3,метал,метали,метала,метали,m,pl,pl,m,pl,count,Юбилярите получиха,седем,изработен,изработен,скъпоценен,скъпоценн,,изработени,,скъпоценни,,изработени,от,от,,скъпоценен,няколко,,indef,,метали,скъпоценни,орден,ордени,ордена,,D,high,Юбилярите получиха седем изработени от метали скъпоценни,орден,1,5,,,,,,,
target1,P1+Num,P1+Num,метал,метали,метала,метала,m,pl,count,m,pl,count,Юбилярите получиха,седем,изработен,изработен,скъпоценен,скъпоценн,скъпоценни,изработени,,,скъпоценни,изработени,от,от,,скъпоценен,няколко,няколко,indef,,метала,,орден,ордени,ордена,,E,high,Юбилярите получиха седем скъпоценни изработени от няколко метала,орден,1,5,,,,,,,
target1,P2+Num,P2+Num,метал,метали,метала,метала,m,pl,count,m,pl,count,Юбилярите получиха,седем,изработен,изработен,скъпоценен,скъпоценн,,изработени,скъпоценни,,,изработени,от,от,,скъпоценен,няколко,няколко,indef,скъпоценни,метала,,орден,ордени,ордена,,F,high,Юбилярите получиха седем изработени от няколко скъпоценни метала,орден,1,5,,,,,,,
target1,P3+Num,P3+Num,метал,метали,метала,метала,m,pl,count,m,pl,count,Юбилярите получиха,седем,изработен,изработен,скъпоценен,скъпоценн,,изработени,,скъпоценни,,изработени,от,от,,скъпоценен,няколко,няколко,indef,,метала,скъпоценни,орден,ордени,ордена,,A,high,Юбилярите получиха седем изработени от няколко метала скъпоценни,орден,1,5,,,,,,,
target1,P1,P1,боя,бои,бои,бои,f,pl,pl,m,pl,count,Студентите разучаваха,два,нарисуван,нарисуван,акварелeн,акварелн,акварелни,нарисувани,,,акварелни,нарисувани,с,с,,акварелeн,няколко,,,,боите,,портрет,портрети,портрета,,A,low,Студентите разучаваха два акварелни нарисувани с боите,портрет,1,5,,,,,,,
target1,P2,P2,боя,бои,бои,бои,f,pl,pl,m,pl,count,Студентите разучаваха,два,нарисуван,нарисуван,акварелeн,акварелн,,нарисувани,акварелните,,,нарисувани,с,с,,акварелeн,няколко,,,акварелните,бои,,портрет,портрети,портрета,,B,low,Студентите разучаваха два нарисувани с акварелните бои,портрет,1,5,,,,,,,
target1,P3,P3,боя,бои,бои,бои,f,pl,pl,m,pl,count,Студентите разучаваха,два,нарисуван,нарисуван,акварелeн,акварелн,,нарисувани,,акварелни,,нарисувани,с,с,,акварелeн,няколко,,,,боите,акварелни,портрет,портрети,портрета,,C,low,Студентите разучаваха два нарисувани с боите акварелни,портрет,1,5,,,,,,,
target1,P1+Num,P1+Num,боя,бои,бои,бои,f,pl,pl,m,pl,count,Студентите разучаваха,два,нарисуван,нарисуван,акварелeн,акварелн,акварелни,нарисувани,,,акварелни,нарисувани,с,с,,акварелeн,няколко,няколко,,,бои,,портрет,портрети,портрета,,D,low,Студентите разучаваха два акварелни нарисувани с няколко бои,портрет,1,5,,,,,,,
target1,P2+Num,P2+Num,боя,бои,бои,бои,f,pl,pl,m,pl,count,Студентите разучаваха,два,нарисуван,нарисуван,акварелeн,акварелн,,нарисувани,акварелни,,,нарисувани,с,с,,акварелeн,няколко,няколко,,акварелни,бои,,портрет,портрети,портрета,,E,low,Студентите разучаваха два нарисувани с няколко акварелни бои,портрет,1,5,,,,,,,
